productCode,productName,quantityInStock,total_sold,stock_category
S18_3232,"1992 Ferrari 360 Spider red",8347,1808,"High Sales"
S18_1342,"1937 Lincoln Berline",8693,1111,"High Sales"
S700_4002,"American Airlines: MD-11S",8820,1085,"High Sales"
S18_3856,"1941 Chevrolet Special Deluxe Cabriolet",2378,1076,"High Sales"
S50_1341,"1930 Buick Marquette Phaeton",7062,1074,"High Sales"
S18_4600,"1940s Ford truck",3128,1061,"High Sales"
S10_1678,"1969 Harley Davidson Ultimate Chopper",7933,1057,"High Sales"
S12_4473,"1957 Chevy Pickup",6125,1056,"High Sales"
S18_2319,"1964 Mercedes Tour Bus",8258,1053,"High Sales"
S24_3856,"1956 Porsche 356A Coupe",6600,1052,"High Sales"
S24_3949,"Corsair F4U ( Bird Cage)",6812,1051,"High Sales"
S18_1662,"1980s Black Hawk Helicopter",5330,1040,"High Sales"
S18_2949,"1913 Ford Model T Speedster",4189,1038,"High Sales"
S24_1578,"1997 BMW R 1100 S",7003,1033,"High Sales"
S10_4757,"1972 Alfa Romeo GTA",3252,1030,"High Sales"
S24_2300,"1962 Volkswagen Microbus",2327,1029,"High Sales"
S12_2823,"2002 Suzuki XREO",9997,1028,"High Sales"
S700_2610,"The USS Constitution Ship",7083,1020,"High Sales"
S12_1108,"2001 Ferrari Enzo",3619,1019,"High Sales"
S18_4721,"1957 Corvette Convertible",1249,1013,"High Sales"
S24_2011,"18th century schooner",1898,1011,"High Sales"
S24_4278,"1900s Vintage Tri-Plane",2756,1009,"High Sales"
S10_2016,"1996 Moto Guzzi 1100i",6625,999,"High Sales"
S18_1097,"1940 Ford Pickup Truck",2613,999,"High Sales"
S18_2432,"1926 Ford Fire Engine",2018,998,"High Sales"
S700_2824,"1982 Camaro Z28",6934,997,"High Sales"
S18_4668,"1939 Cadillac Limousine",6645,995,"High Sales"
S12_4675,"1969 Dodge Charger",7323,992,"High Sales"
S18_3320,"1917 Maxwell Touring Car",7913,992,"High Sales"
S24_3151,"1912 Ford Model T Delivery Wagon",9173,991,"High Sales"
S18_4522,"1904 Buick Runabout",8290,990,"High Sales"
